from,to,rank,weight,year
Ousmane Dembélé,bdo2025,1,100,2025
Ousmane Dembélé,Paris Saint-Germain,NA,NA,NA
Ousmane Dembélé,Stade Rennes1,NA,NA,NA
Lamine Yamal,bdo2025,2,50,2025
Lamine Yamal,FC Barcelona,NA,NA,NA
Lamine Yamal,FC Barcelona1,NA,NA,NA
Vitinha,bdo2025,3,30,2025
Vitinha,Paris Saint-Germain,NA,NA,NA
Vitinha,FC Porto1,NA,NA,NA
Mohamed Salah,bdo2025,4,20,2025
Mohamed Salah,FC Liverpool,NA,NA,NA
Mohamed Salah,FC Basel1,NA,NA,NA
Raphinha,bdo2025,5,10,2025
Raphinha,FC Barcelona,NA,NA,NA
Raphinha,Vitória Guimarães1,NA,NA,NA
Aitana Bonmatí,bdo2025,1,100,2025
Aitana Bonmatí,FC Barcelona,NA,NA,NA
Aitana Bonmatí,FC Barcelona1,NA,NA,NA
Mariona Caldentey,bdo2025,2,50,2025
Mariona Caldentey,FC Arsenal,NA,NA,NA
Mariona Caldentey,FC Barcelona1,NA,NA,NA
Alessia Russo,bdo2025,3,30,2025
Alessia Russo,FC Arsenal,NA,NA,NA
Alessia Russo,FC Chelsea,NA,NA,NA
Alexia Putellas,bdo2025,4,20,2025
Alexia Putellas,FC Barcelona,NA,NA,NA
Alexia Putellas,Espanyol Barcelona1,NA,NA,NA
Chloe Kelly,bdo2025,5,10,2025
Chloe Kelly,FC Arsenal,NA,NA,NA
Chloe Kelly,FC Arsenal1,NA,NA,NA
