CODEBUCH,,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",,
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,,
Wert,Kommentar,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,
from,Spieler ID --> Name des Spielers z.B. Cristiano Ronaldo,
,,
to ,Ballon d`or des Jahres --> Abkürzung bdo2018,
,club --> Verein ausgeschrieben z.B. Real Madrid,
,education --> Verein ausgeschrieben mit einer 1 angehängt z.B. Real Madrid1,
,,
rank,Rang,
,platz 1 --> 1,
,patz 2 --> 2,
,platz 3 --> 3,
,platz 4 --> 4,
,platz 5 --> 5,
,,
weight,Gewicht der Platzierung der Nominierten,
,platz 1 -->100,
,platz 2 --> 50,
,platz 3--> 30,
,platz 4--> 20,
,platz 5 --> 10,
,,
year,Jahr --> z.B. 2018,Frauen ab 2018 
,,
,,
,,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,
id,"Name oder Bezeichnung des Knotens: Name, Verein oder Ballon D'Or ausgeschrieben",
,Spieler ID --> Name des Spielers ausgeschrieben z.B. Cristiano Ronaldo,
,,
,Vereine ausgeschrieben,
,,
,Ballon D`or mit zugehörigem Jahr --> bdo2018,
,,
sex,Geschlecht des Spielers/Spielerin,
,male = 1,
,weiblich = 2,
,,
nationality,zugehörige Nationalität bzw. Land,
,DE = Deutschland ,
,ES = Spanien,
,IT = Italien,
,FR = Frankreich,
,BRA= Brasilien,
,EGY = Ägypten,
,GB = Vereinigtes Königreich,
,,
club,"Verein des Spielers  zum Zeitpunkt des Gewinns/Nominierung abgekürzt z.B. rm, psg, etc. ",
,Real Madrid = rm,
,Paris Saint-Germain = psg,
,FC Barcelona= fcba,
,FC Basel = fcbs,
,FC Arsenal = fca,
education,Verein des ersten Profisvertrags ,
,nach jeder Vereinsabkürzung eine 1 für erster Profivertrag,
,Real Madrid = rm1,
,Paris Saint-Germain = psg1,
,Stade Rennes = sr1,
,FC Barcelona= fcba1,
,FC Porto = fcp1,
,FC Basel = fcbs1,
,Vitória Guimarães SC = vgsc1,
,FC Chelsea = fcc1,
type,"relevant bei two-mode Netzwerken, Unterscheidung zwischen Spieler, Ballon D'Or und Verein.",
,Spieler = 1,
,Ballon D'Or = 2,
,Verein (club) = 3,
,erster Verein (education) = 4,
,,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus..",
