id,sex,nationality,education,club,type,NA
Ballon D'Or2025,,,,,2,
Ousmane Dembélé,1,FR,sr1,psg,1,
Paris Saint-Germain,,,,,3,
Stade Rennes,,,,,4,
Lamine Yamal,1,ES,fcba1,fcba,1,
FC Barcelona,,,,,3,
FC Barcelona,,,,,4,
Vitinha,1,PT,fcp1,psg,1,
Paris Saint-Germain,,,,,3,
FC Porto,,,,,4,
Mohamed Salah,1,EGY,fcbs1,fcl,1,
FC Liverpool,,,,,3,
FC Basel,,,,,4,
Raphinha,1,BRA,vgsc1,fcba,1,
FC Barcelona,,,,,3,
Vitória Guimarães SC,,,,,4,
Aitana Bonmatí,2,ES,fcba1,fcba,1,
FC Barcelona,,,,,3,
FC Barcelona,,,,,4,
Mariona Caldentey,2,ES,fcba1,fca,1,
FC Arsenal,,,,,3,
FC Barcelona,,,,,4,
Alessia Russo,2,GB,fcc1,fca,1,
FC Arsenal,,,,,3,
FC Chelsea,,,,,4,
Alexia Putellas,2,ES,esba1,fcba,1,
FC Barcelona,,,,,3,
Espanyol Barcelona,,,,,4,
Chloe Kelly ,2,GB,fca1,fca,1,
FC Arsenal,,,,,3,
FC Arsenal,,,,,4,
