CODEBUCH,,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien erfasst werden.",,
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,,
Wert,Kommentar,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,
from,Definiert den Sender. Entspricht dem Spieler / der Spielerin ausgeschrieben mit Sonderzeichen. ,
,,
to ,Definiert den Empfänger. Entspricht den Vereinen ausgeschrieben mit Sonderzeichen. ,
,,
relation,Definiert den Beziehungstyp zwischen Spieler / Spielerin und Verein. ,
,played_at = Verein zum Zeitpunkt der Nominierung,
,trained_at = erster Profivertrag (quasi Ausbildung),
rank,"Definiert den Ballon d'Or-Rang von 1 bis 5. Nur relevant für ""played_at"". ",
,platz 1 --> 1,
,patz 2 --> 2,
,platz 3 --> 3,
,platz 4 --> 4,
,platz 5 --> 5,
,,
weight,"Definiert die Gewichtung der Ballon d'Or-Platzierung. Nur relevant für ""played_at"". ",
,platz 1 -->100,
,platz 2 --> 50,
,platz 3--> 30,
,platz 4--> 20,
,platz 5 --> 10,
,,
year,"Definiert das Ballon d’Or-Jahr der Nominierung. Nur relevant für ""played_at"".",Notiz: Frauen ab 2018 
,bdo und Jahr der Nominierung --> bdo2025,
,,
,,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,
id,"Definiert Name oder Bezeichnung des Knotens. Entspricht Name des Spielers / der Spielerin oder Verein, eindeutige Identifikation jedes einzelnen Knotens. ",
,,
,,
sex,Definiert das Geschlecht des Spielers / der Spielerin.,
,male = 1,
,female = 2,
,,
nationality,definiert die zugehörige Nationalität des Speilers/Spielerin oder Verein,
,DE = Deutschland ,
,ES = Spanien,
,IT = Italien,
,FR = Frankreich,
,BRA= Brasilien,
,EGY = Ägypten,
,GB = Vereinigtes Königreich,
,PT = Portugal,
,SUI = Schweiz,
,,
type,Definiert die Art des Knotens. ,
,Spieler / Spielerin = 1,
,Verein (club) = 2,
,,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus..",
